,Gyr_x rads,gr_x (deg),0 index timestamp,gy_r offset,Gyro offset,Timestamp offset
11621,0.081771,4.685133187,0,-2.170305628,6.855438814,11621
11649,-0.173367,-9.933197407,28,-16.78863622,,
11678,-0.427972,-24.52098935,57,-31.37642816,,
11707,-0.605436,-34.68892757,86,-41.54436638,,
11721,-0.722946,-41.42175462,100,-48.27719343,,
11750,-0.832862,-47.71947752,129,-54.57491633,,
11779,-0.90454,-51.8263244,158,-58.68176321,,
11808,-0.897612,-51.42937924,187,-58.28481805,,
11837,-0.807015,-46.2385535,216,-53.09399232,,
11867,-0.673251,-38.57444085,246,-45.42987967,,
11896,-0.474337,-27.17750817,275,-34.03294698,,
11924,-0.229191,-13.131677,303,-19.98711582,,
11939,-0.108617,-6.223295683,318,-13.0787345,,
11967,0.115744,6.631642704,346,-0.22379611,,
11996,0.413117,23.66986055,375,16.81442173,,
12025,0.668121,38.2805135,404,31.42507469,,
12054,0.897012,51.39500177,433,44.53956296,,
12082,1.011325,57.94465422,461,51.0892154,,
12111,1.107518,63.45610713,490,56.60066832,,
12140,1.153216,66.07440967,519,59.21897085,,
12169,1.133232,64.92941081,548,58.07397199,,
12197,0.996403,57.08968659,576,50.23424778,,
12226,0.830397,47.57824342,605,40.72280461,,
12255,0.636279,36.45610129,634,29.60066248,,
12284,0.416048,23.83779447,663,16.98235566,,
12298,0.25204,14.44082827,677,7.585389454,,
12327,-0.010159,-0.582067824,706,-7.437506638,,
12355,-0.249709,-14.30727181,734,-21.16271062,,
12384,-0.488459,-27.98663917,763,-34.84207798,,
12413,-0.675116,-38.68129748,792,-45.5367363,,
12442,-0.802219,-45.96376295,821,-52.81920176,,
12471,-0.8699,-49.8415986,850,-56.69703741,,
12500,-0.881092,-50.48285296,879,-57.33829178,,
12529,-0.837925,-48.00956605,908,-54.86500486,,
12558,-0.67405,-38.62022018,937,-45.475659,,
12587,-0.49672,-28.4599596,966,-35.31539841,,
12616,-0.263298,-15.08586415,995,-21.94130297,,
12645,-0.013756,-0.788160743,1024,-7.643599557,,
12674,0.238051,13.63931761,1053,6.783878795,,
12703,0.455617,26.10493117,1082,19.24949236,,
12732,0.694634,39.79959651,1111,32.94415769,,
12760,0.89981,51.55531536,1139,44.69987655,,
12789,1.031709,59.11257139,1168,52.25713257,,
12818,1.113647,63.80727297,1197,56.95183415,,
12847,1.11711,64.00568825,1226,57.15024944,,
12875,1.044633,59.85306204,1254,52.99762323,,
12904,0.922193,52.8377668,1283,45.98232798,,
12933,0.756853,43.36448261,1312,36.5090438,,
12962,0.533957,30.59348254,1341,23.73804373,,
12990,0.285481,16.35685643,1369,9.501417617,,
13019,0.029011,1.662207859,1398,-5.193230955,,
13048,-0.210006,-12.03245747,1427,-18.88789629,,
13077,-0.401859,-23.02482466,1456,-29.88026347,,
13105,-0.631416,-36.17747192,1484,-43.03291073,,
13134,-0.771043,-44.17750972,1513,-51.03294854,,
13163,-0.837125,-47.96372942,1542,-54.81916824,,
13192,-0.859109,-49.22331984,1571,-56.07875866,,
13221,-0.805816,-46.16985586,1600,-53.02529468,,
13250,-0.67898,-38.90268837,1629,-45.75812719,,
13279,-0.503248,-28.83398645,1658,-35.68942526,,
13308,-0.305266,-17.49045343,1687,-24.34589224,,
13337,-0.088233,-5.055378514,1716,-11.91081733,,
13365,0.206208,11.8148481,1744,4.959409288,,
13394,0.440962,25.26526153,1773,18.40982271,,
13423,0.662659,37.96756396,1802,31.11212514,,
13452,0.860107,49.28050103,1831,42.42506222,,
13480,0.998801,57.22708187,1859,50.37164306,,
13509,1.070746,61.34922673,1888,54.49378792,,
13538,1.085268,62.18127604,1917,55.32583723,,
13567,1.051561,60.2500072,1946,53.39456839,,
13595,0.936982,53.68511408,1974,46.82967527,,
13624,0.767645,43.98281866,2003,37.12737985,,
13653,0.562336,32.21947947,2032,25.36404065,,
13682,0.331046,18.96753862,2061,12.11209981,,
13710,0.109882,6.295774844,2089,-0.55966397,,
13739,-0.173367,-9.933197407,2118,-16.78863622,,
13753,-0.285681,-16.36831559,2132,-23.2237544,,
13782,-0.481664,-27.59731434,2161,-34.45275316,,
13811,-0.663392,-38.00956176,2190,-44.86500058,,
13840,-0.780902,-44.74238881,2219,-51.59782763,,
13869,-0.824335,-47.2309164,2248,-54.08635522,,
13898,-0.82207,-47.10114146,2277,-53.95658028,,
13927,-0.754389,-43.22330581,2306,-50.07874463,,
13956,-0.61343,-35.14695003,2335,-42.00238884,,
13985,-0.423309,-24.25381913,2364,-31.10925794,,
14014,-0.208007,-11.91792321,2393,-18.77336202,,
14043,0.030477,1.746203472,2422,-5.109235342,,
14072,0.254305,14.57060321,2451,7.715164395,,
14100,0.514639,29.48664267,2479,22.63120386,,
14129,0.718749,41.18128423,2508,34.32584542,,
14158,0.866636,49.65458517,2537,42.79914636,,
14187,1.005729,57.62402703,2566,50.76858822,,
14215,1.059022,60.67749101,2594,53.8220522,,
14244,1.057956,60.61641371,2623,53.7609749,,
14273,0.968025,55.46374696,2652,48.60830815,,
14302,0.868368,49.75382146,2681,42.89838265,,
14330,0.684775,39.23471742,2709,32.3792786,,
14359,0.476934,27.32630531,2738,20.47086649,,
14388,0.245645,14.07442176,2767,7.218982944,,
14417,-0.004164,-0.238579626,2796,-7.09401844,,
14445,-0.246378,-14.11641956,2824,-20.97185838,,
14460,-0.349366,-20.01719731,2839,-26.87263612,,
14488,-0.501116,-28.71183185,2867,-35.56727066,,
14517,-0.687507,-39.39124949,2896,-46.2466883,,
14546,-0.78823,-45.16225229,2925,-52.0176911,,
14575,-0.810879,-46.4599444,2954,-53.31538321,,
14603,-0.775839,-44.45230028,2982,-51.3077391,,
14633,-0.693769,-39.75003566,3012,-46.60547447,,
14662,-0.542951,-31.10880078,3041,-37.9642396,,
14691,-0.338308,-19.38362058,3070,-26.23905939,,
14720,-0.127935,-7.330135552,3099,-14.18557437,,
14749,0.112547,6.448468097,3128,-0.406970717,,
14777,0.367152,21.03626004,3156,14.18082123,,
14806,0.578457,33.14314473,3185,26.28770592,,
14835,0.764714,43.81488473,3214,36.95944592,,
14864,0.921794,52.81490578,3243,45.95946697,,
14892,1.01772,58.31106073,3271,51.45562191,,
14921,1.042768,59.74620541,3300,52.8907666,,
14950,1.012124,57.99043354,3329,51.13499473,,
14979,0.939247,53.81488902,3358,46.95945021,,
15007,0.828532,47.47138679,3386,40.61594798,,
15036,0.602838,34.54007313,3415,27.68463432,,
15065,0.388202,22.2423362,3444,15.38689738,,
15094,0.166239,9.52479309,3473,2.669354276,,
15122,-0.08277,-4.74237167,3501,-11.59781048,,
15151,-0.30873,-17.68892601,3530,-24.54436482,,
15180,-0.497785,-28.5209796,3559,-35.37641842,,
15209,-0.603704,-34.58969128,3588,-41.44513009,,
15237,-0.748527,-42.88743795,3616,-49.74287677,,
15266,-0.793426,-45.45996116,3645,-52.31539997,,
15280,-0.781968,-44.80346611,3659,-51.65890493,,
15309,-0.730274,-41.84161809,3688,-48.6970569,,
15338,-0.629551,-36.07061529,3717,-42.9260541,,
15368,-0.467409,-26.78056301,3747,-33.63600182,,
15397,-0.258902,-14.83399191,3776,-21.68943072,,
15426,-0.042667,-2.444639024,3805,-9.300077839,,
15454,0.19102,10.9446398,3833,4.089200988,,
15483,0.43057,24.66984378,3862,17.81440497,,
15512,0.636945,36.49426028,3891,29.63882147,,
15541,0.801752,45.93700582,3920,39.081567,,
15570,0.927922,53.16601432,3949,46.3105755,,
15598,1.013723,58.0820495,3977,51.22661068,,
15627,1.024781,58.71562623,4006,51.86018741,,
15656,0.967758,55.44844899,4035,48.59301018,,
15685,0.870766,49.89121674,4064,43.03577793,,
15713,0.729274,41.78432231,4092,34.92888349,,
15742,0.524631,30.0591421,4121,23.20370329,,
15771,0.305466,17.50191258,4150,10.64647377,,
15799,0.082437,4.723292176,4178,-2.132146639,,
15828,-0.143657,-8.230939798,4207,-15.08637861,,
15857,-0.362422,-20.765251,4236,-27.62068982,,
15886,-0.539487,-30.9103282,4265,-37.76576702,,
15915,-0.656331,-37.60499626,4294,-44.46043508,,
15944,-0.744396,-42.65074909,4323,-49.5061879,,
15972,-0.768911,-44.05535512,4351,-50.91079394,,
16001,-0.721614,-41.34543664,4380,-48.20087545,,
16030,-0.620358,-35.54389519,4409,-42.399334,,
16059,-0.479932,-27.49807805,4438,-34.35351687,,
16088,-0.290611,-16.65078378,4467,-23.50622259,,
16117,-0.060121,-3.44467956,4496,-10.30011837,,
16146,0.154382,8.845437033,4525,1.989998219,,
16175,0.378343,21.67745711,4554,14.82201829,,
16204,0.596176,34.15836865,4583,27.30292983,,
16232,0.763515,43.74618709,4611,36.89074828,,
16261,0.888752,50.92173863,4640,44.06629982,,
16290,0.975619,55.89885111,4669,49.0434123,,
16319,1.006928,57.69272467,4698,50.83728586,,
16347,0.958299,54.90648821,4726,48.0510494,,
16376,0.86557,49.59350787,4755,42.73806906,,
16405,0.732605,41.97517455,4784,35.11973574,,
16434,0.549812,31.50190713,4813,24.64646831,,
16462,0.33491,19.18892952,4841,12.3334907,,
16491,0.110415,6.326313495,4870,-0.529125319,,
16520,-0.099557,-5.704195921,4899,-12.55963474,,
16549,-0.315792,-18.0935488,4928,-24.94898762,,
16563,-0.413583,-23.69656038,4942,-30.55199919,,
16592,-0.535756,-30.69655765,4971,-37.55199646,,
16621,-0.704694,-40.37599205,5000,-47.23143086,,
16649,-0.733472,-42.02484999,5028,-48.88028881,,
16678,-0.738001,-42.28434258,5057,-49.13978139,,
16707,-0.702029,-40.2232988,5086,-47.07873761,,
16737,-0.558272,-31.98662942,5116,-38.84206823,,
16765,-0.402925,-23.08590196,5144,-29.94134077,,
16794,-0.20481,-11.7347486,5173,-18.59018742,,
16823,0.016754,0.95993349,5202,-5.895505324,,
16852,0.229391,13.14313616,5231,6.287697344,,
16881,0.442161,25.33395917,5260,18.47852035,,
16910,0.647737,37.11259633,5289,30.25715752,,
16938,0.793092,45.44082437,5317,38.58538555,,
16967,0.903541,51.76908592,5346,44.9136471,,
16996,0.974553,55.83777381,5375,48.982335,,
17025,0.977884,56.02862605,5404,49.17318724,,
17053,0.914199,52.37974434,5432,45.52430552,,
17082,0.802951,46.00570346,5461,39.15026464,,
17111,0.661859,37.92172733,5490,31.06628852,,
17140,0.472271,27.05913509,5519,20.20369627,,
17154,0.361556,20.71563286,5533,13.86019404,,
17183,0.14279,8.181264357,5562,1.325825542,,
17212,-0.073177,-4.192733257,5591,-11.04817207,,
17240,-0.23119,-13.24621127,5619,-20.10165008,,
17269,-0.451821,-25.8874364,5648,-32.74287521,,
17298,-0.595044,-34.09350982,5677,-40.94894864,,
17327,-0.684576,-39.22331556,5706,-46.07875437,,
17355,-0.710689,-40.71948025,5734,-47.57491906,,
17384,-0.70123,-40.17751947,5763,-47.03295828,,
17413,-0.627286,-35.94084035,5792,-42.79627916,,
17442,-0.489658,-28.0553368,5821,-34.91077562,,
17471,-0.334044,-19.13931137,5850,-25.99475019,,
17500,-0.133531,-7.650762734,5879,-14.50620155,,
17529,0.097758,5.601120814,5908,-1.254318001,,
17558,0.297205,17.02859215,5937,10.17315334,,
17587,0.499717,28.63167505,5966,21.77623624,,
17615,0.683843,39.18131775,5994,32.32587894,,
17644,0.827333,47.40268915,6023,40.54725034,,
17673,0.908604,52.05917445,6052,45.20373563,,
17702,0.944576,54.12021823,6081,47.26477942,,
17730,0.942844,54.02098194,6109,47.16554313,,
17759,0.867702,49.71566248,6138,42.86022366,,
17788,0.736869,42.21948375,6167,35.36404494,,
17817,0.583386,33.42555563,6196,26.57011681,,
17845,0.397928,22.79959495,6224,15.94415614,,
17860,0.290544,16.64694496,6239,9.791506149,,
17888,0.074043,4.242351402,6267,-2.613087412,,
17917,-0.136862,-7.841614976,6296,-14.69705379,,
17946,-0.314326,-18.00955319,6325,-24.86499201,,
17974,-0.491524,-28.16225073,6353,-35.01768954,,
18003,-0.60437,-34.62785026,6382,-41.48328908,,
18032,-0.666057,-38.16225502,6411,-45.01769383,,
18061,-0.692703,-39.68895836,6440,-46.54439717,,
18090,-0.659795,-37.80346884,6469,-44.65890766,,
18119,-0.56187,-32.19277964,6498,-39.04821845,,
18148,-0.42664,-24.44467137,6527,-31.30011019,,
18177,-0.256104,-14.67367832,6556,-21.52911713,,
18206,-0.058389,-3.34544327,6585,-10.20088208,,
18235,0.16504,9.456095451,6614,2.600656637,,
18263,0.361023,20.68509421,6642,13.82965539,,
18292,0.550212,31.52482544,6671,24.66938662,,
18321,0.718749,41.18128423,6700,34.32584542,,
18350,0.830797,47.60116173,6729,40.74572292,,
18378,0.900477,51.59353165,6757,44.73809283,,
18407,0.901143,51.63169064,6786,44.77625182,,
18436,0.893548,51.19652919,6815,44.34109038,,
18465,0.803617,46.04386244,6844,39.18842363,,
18493,0.678247,38.86069057,6872,32.00525175,,
18522,0.515571,29.54004234,6901,22.68460353,,
18551,0.347967,19.93704051,6930,13.0816017,,
18580,0.106818,6.120220576,6959,-0.735218238,,
18608,-0.0869,-4.97900324,6987,-11.83444205,,
18637,-0.272092,-15.58972324,7016,-22.44516205,,
18666,-0.441828,-25.31487967,7045,-32.17031848,,
18694,-0.568931,-32.59734513,7073,-39.45278395,,
18723,-0.631816,-36.20039023,7102,-43.05582904,,
18752,-0.670586,-38.4217476,7131,-45.27718641,,
18781,-0.645272,-36.97136224,7160,-43.82680105,,
18810,-0.556807,-31.9026911,7189,-38.75812992,,
18839,-0.433834,-24.85685721,7218,-31.71229602,,
18868,-0.276755,-15.85689346,7247,-22.71233227,,
18897,-0.071579,-4.101174602,7276,-10.95661342,,
18926,0.121607,6.967567859,7305,0.112129045,,
18955,0.285748,16.3721544,7334,9.51671559,,
18984,0.5217,29.89120817,7363,23.03576936,,
19012,0.671052,38.44844743,7391,31.59300862,,
19041,0.792159,45.3873674,7420,38.53192859,,
19070,0.879959,50.41793684,7449,43.56249803,,
19099,0.904207,51.80724491,7478,44.95180609,,
19127,0.871432,49.92937573,7506,43.07393692,,
19156,0.803751,46.05154008,7535,39.19610127,,
19185,0.724478,41.50953175,7564,34.65409294,,
19214,0.528228,30.26523502,7593,23.40979621,,
19242,0.337308,19.3263248,7621,12.47088598,,
19271,0.151717,8.69274378,7650,1.837304966,,
19300,-0.053193,-3.0477344,7679,-9.903173214,,
19329,-0.248776,-14.25381484,7708,-21.10925366,,
19357,-0.408787,-23.42176982,7736,-30.27720863,,
19386,-0.523766,-30.00958125,7765,-36.86502007,,
19415,-0.615828,-35.28434531,7794,-42.13978412,,
19444,-0.649935,-37.23853246,7823,-44.09397127,,
19472,-0.629418,-36.06299495,7851,-42.91843376,,
19501,-0.549612,-31.49044797,7880,-38.34588678,,
19530,-0.443427,-25.40649562,7909,-32.26193444,,
19559,-0.290611,-16.65078378,7938,-23.50622259,,
19588,-0.093695,-5.368328061,7967,-12.22376688,,
19617,0.090164,5.166016664,7996,-1.68942215,,
19646,0.283083,16.21946115,8025,9.364022338,,
19675,0.480265,27.51715755,8054,20.66171873,,
19704,0.642008,36.78434881,8083,29.92891,,
19732,0.758186,43.44085789,8111,36.58541907,,
19761,0.841189,48.19657947,8140,41.34114066,,
19790,0.890084,50.99805661,8169,44.1426178,,
19819,0.860907,49.32633765,8198,42.47089884,,
19847,0.79176,45.36450639,8226,38.50906757,,
19876,0.69117,39.60112393,8255,32.74568511,,
19905,0.548879,31.44845016,8284,24.59301135,,
19934,0.359558,20.60115589,8313,13.74571708,,
19962,0.170236,9.753804321,8341,2.898365507,,
19991,-0.01309,-0.750001754,8370,-7.605440568,,
20020,-0.207075,-11.86452354,8399,-18.71996236,,
20049,-0.370949,-21.25381211,8428,-28.10925093,,
20077,-0.489525,-28.04771647,8456,-34.90315528,,
20106,-0.581721,-33.33015815,8485,-40.18559697,,
20135,-0.62702,-35.92559967,8514,-42.78103848,,
20164,-0.615162,-35.24618632,8543,-42.10162513,,
20193,-0.540819,-30.98664618,8572,-37.84208499,,
20222,-0.446891,-25.6049682,8601,-32.46040702,,
20251,-0.305399,-17.49807377,8630,-24.35351258,,
20280,-0.116211,-6.658399833,8659,-13.51383865,,
20309,0.063784,3.654554,8688,-3.200884814,,
20337,0.215934,12.37210685,8716,5.516668039,,
20366,0.434967,24.92177333,8745,18.06633451,,
20395,0.608434,34.86070031,8774,28.0052615,,
20424,0.720881,41.30343883,8803,34.44800002,,
20452,0.810279,46.42556693,8831,39.57012811,,
20481,0.863438,49.47135327,8860,42.61591446,,
20510,0.848916,48.63930396,8889,41.78386515,,
20539,0.789761,45.24997212,8918,38.39453331,,
20568,0.688639,39.45610831,8947,32.60066949,,
20596,0.561669,32.18126318,8975,25.32582437,,
20625,0.382207,21.898848,9004,15.04340919,,
20654,0.197016,11.2881853,9033,4.432746482,,
20682,0.022882,1.311042027,9061,-5.544396787,,
20711,-0.130867,-7.498126778,9090,-14.35356559,,
20740,-0.333112,-19.08591171,9119,-25.94135052,,
20769,-0.46088,-26.40647886,9148,-33.26191768,,
20797,-0.540686,-30.97902584,9176,-37.83446466,,
20826,-0.599441,-34.34543937,9205,-41.20087818,,
20841,-0.605037,-34.66606655,9220,-41.52150536,,
20869,-0.578124,-33.12406524,9248,-39.97950405,,
20899,-0.490857,-28.12403444,9278,-34.97947326,,
20927,-0.387337,-22.19277535,9306,-29.04821416,,
20957,-0.236785,-13.56678115,9336,-20.42221997,,
20986,-0.044533,-2.551552949,9365,-9.406991763,,
21000,0.036872,2.112609982,9379,-4.742828832,,
21029,0.181827,10.4179197,9408,3.562480887,,
21058,0.408853,23.42555134,9437,16.57011253,,
21087,0.563268,32.27287913,9466,25.41744032,,
21115,0.68704,39.36449236,9494,32.50905354,,
21144,0.780968,44.74617033,9523,37.89073152,,
21173,0.843853,48.34921543,9552,41.49377662,,
21202,0.861839,49.37973732,9581,42.52429851,,
21231,0.776305,44.47900011,9610,37.6235613,,
21259,0.690238,39.54772426,9638,32.69228545,,
21288,0.563668,32.29579745,9667,25.44035863,,
21317,0.394464,22.60112237,9696,15.74568356,,
21346,0.216467,12.4026455,9725,5.54720669,,
21360,0.13493,7.73091953,9739,0.875480715,,
21389,-0.050528,-2.895041147,9768,-9.750479961,,
21417,-0.223329,-12.79580914,9796,-19.65124796,,
21446,-0.368684,-21.12403717,9825,-27.97947599,,
21475,-0.470207,-26.9408766,9854,-33.79631541,,
21504,-0.555475,-31.82637313,9883,-38.68181194,,
21532,-0.582387,-33.36831714,9911,-40.22375596,,
21561,-0.547214,-31.35305269,9940,-38.2084915,,
21590,-0.495254,-28.37596399,9969,-35.2314028,,
21619,-0.384006,-22.00192311,9998,-28.85736192,,
21648,-0.232522,-13.32252924,10027,-20.17796806,,
21677,-0.071312,-4.085876629,10056,-10.94131544,,
21706,0.102288,5.860670695,10085,-0.994768119,,
21735,0.294541,16.87595619,10114,10.02051738,,
21764,0.463212,26.54009262,10143,19.68465381,,
21793,0.598175,34.27290291,10172,27.4174641,,
21821,0.705426,40.41793256,10200,33.56249374,,
21850,0.76165,43.63933047,10229,36.78389165,,
21879,0.812144,46.53242356,10258,39.67698474,,
21908,0.789761,45.24997212,10287,38.39453331,,
21936,0.736869,42.21948375,10315,35.36404494,,
21965,0.634281,36.34162433,10344,29.48618551,,
21994,0.522233,29.92174682,10373,23.06630801,,
22023,0.325317,18.6392911,10402,11.78385229,,
22051,0.161043,9.22708422,10430,2.371645406,,
22080,-0.022283,-1.276721855,10459,-8.132160669,,
22109,-0.191354,-10.96377659,10488,-17.81921541,,
22138,-0.333245,-19.09353204,10517,-25.94897086,,
22167,-0.437965,-25.09354607,10546,-31.94898489,,
22195,-0.523499,-29.99428328,10574,-36.84972209,,
22224,-0.558805,-32.01716807,10603,-38.87260689,,
22238,-0.552677,-31.66605953,10617,-38.52149835,,
22268,-0.511775,-29.32254756,10647,-36.17798637,,
22296,-0.436765,-25.02479114,10675,-31.88022995,,
22326,-0.318589,-18.2538051,10705,-25.10924391,,
22354,-0.161243,-9.238543376,10733,-16.09398219,,
22383,-0.007761,-0.444672545,10762,-7.300111359,,
22412,0.173167,9.921738251,10791,3.066299437,,
22441,0.318656,18.25764392,10820,11.4022051,,
22470,0.492922,28.24235023,10849,21.38691141,,
22499,0.62229,35.65459063,10878,28.79915182,,
22527,0.734204,42.0667905,10906,35.21135169,,
22556,0.777771,44.56299573,10935,37.70755691,,
22585,0.784565,44.95226325,10964,38.09682444,,
22614,0.750725,43.01337407,10993,36.15793526,,
22642,0.687839,39.41027168,11021,32.55483287,,
22671,0.565,32.37211542,11050,25.51667661,,
22700,0.42191,24.17366233,11079,17.31822352,,
22729,0.26936,15.43319117,11108,8.577752355,,
22757,0.092962,5.326330255,11136,-1.529108559,,
22786,-0.083037,-4.757669643,11165,-11.61310846,,
22815,-0.231323,-13.2538316,11194,-20.10927042,,
22829,-0.329648,-18.88743912,11208,-25.74287794,,
22858,-0.410785,-23.53624679,11237,-30.3916856,,
22887,-0.496453,-28.44466163,11266,-35.30010044,,
22915,-0.538954,-30.87978955,11294,-37.73522837,,
22944,-0.516171,-29.57441981,11323,-36.42985862,,
22973,-0.475802,-27.26144648,11352,-34.1168853,,
23002,-0.390135,-22.35308894,11381,-29.20852775,,
23031,-0.246645,-14.13171754,11410,-20.98715635,,
23060,-0.10502,-6.017202764,11439,-12.87264158,,
23089,0.05619,3.219449851,11468,-3.635988963,,
23104,0.113613,6.509545398,11483,-0.345893416,,
23132,0.321853,18.44081852,11511,11.58537971,,
23161,0.466276,26.71564689,11540,19.86020807,,
23190,0.592712,33.95989607,11569,27.10445725,,
23219,0.701562,40.19654167,11598,33.34110285,,
23247,0.75672,43.35686227,11626,36.50142346,,
23276,0.765647,43.8683417,11655,37.01290288,,
23305,0.740333,42.41795633,11684,35.56251752,,
23334,0.684775,39.23471742,11713,32.3792786,,
23362,0.571129,32.72328126,11741,25.86784244,,
23391,0.435633,24.95993232,11770,18.1044935,,
23406,0.35596,20.39500568,11785,13.53956686,,
23434,0.205542,11.77668911,11813,4.921250298,,
23463,0.040735,2.333943578,11842,-4.521495236,,
23492,-0.092363,-5.292010083,11871,-12.1474489,,
23520,-0.273824,-15.68895953,11899,-22.54439834,,
23549,-0.387337,-22.19277535,11928,-29.04821416,,
23578,-0.45715,-26.1927656,11957,-33.04820442,,
23607,-0.511642,-29.31492722,11986,-36.17036604,,
23635,-0.516837,-29.6125788,12014,-36.46801761,,
23664,-0.459415,-26.32254055,12043,-33.17797936,,
23693,-0.381475,-21.85690749,12072,-28.7123463,,
23722,-0.270759,-15.51334797,12101,-22.36878678,,
23751,-0.156314,-8.956132479,12130,-15.81157129,,
23780,0.040602,2.32632324,12159,-4.529115574,,
23809,0.196882,11.28050766,12188,4.425068848,,
23838,0.357826,20.5019196,12217,13.64648079,,
23867,0.510375,29.24233347,12246,22.38689465,,
23895,0.620824,35.57059502,12274,28.71515621,,
23924,0.695434,39.84543313,12303,32.98999432,,
23953,0.749925,42.96753745,12332,36.11209864,,
23982,0.760317,43.56295519,12361,36.70751638,,
24010,0.706359,40.47138952,12389,33.61595071,,
24039,0.658928,37.7537934,12418,30.89835459,,
24068,0.527962,30.24999434,12447,23.39455553,,
